word/phrase,type,raw_frequency,count,topic,POS,syllables,readability_score,level,Shorthand Code,Grammatical Item,Sentence Type,CEFR-J Level,Core Inventory,EGP,GSELO,log_freq,frequency_score
grapes,word,4.0006401024163864e-05,5,general,verb,1,10.0,UNKNOWN,,,,,,,,-4.39786943043424,3
mango,word,4.0006401024163864e-05,5,general,propn,2,3.66,UNKNOWN,,,,,,,,-4.39786943043424,3
melon,word,8.001280204832773e-06,1,fruits,propn,2,3.66,UNKNOWN,,,,,,,,-5.0968350925528725,1
apple,word,0.00016802688430148823,21,"food,food and drink",noun,2,3.66,A1,,,,,,,,-3.7746209671302884,4
served,word,8.001280204832773e-06,1,general,verb,1,10.0,UNKNOWN,,,,,,,,-5.0968350925528725,1
cup,word,0.00013602176348215714,17,"household_items,objects and rooms,shopping",noun,1,10.0,A1,,,,,,,,-3.8663912796701485,4
coffee,word,0.0004560729716754681,57,"food,food and drink",noun,2,3.66,A1,,,,,,,,-3.340965569434129,5
tea,word,0.0002800448071691471,35,"food,food and drink",noun,1,10.0,A1,,,,,,,,-3.5527723209007864,5
glass,word,0.00012001920307249159,15,"containers,objects and rooms,shopping",noun,1,10.0,A1,,,,,,,,-3.920748899421697,4
wine,word,0.00012802048327732437,16,"food and drink,general",noun,1,10.0,A1,,,,,,,,-3.89272019843732,4
red,word,0.00040006401024163864,50,colors,"propn adjective, noun,adjective",1,10.0,A1,,,,,,,,-3.3978704074391355,5
beer,word,7.201152184349496e-05,9,"food and drink,general",noun,1,10.0,A1,,,,,,,,-4.142597407802213,3
water,word,0.001488238118098896,186,"food,food and drink",noun,2,3.66,A1,,,,,,,,-2.827327546931687,6
still,word,0.0005120819331092975,64,general,"adv adverb,adjective",1,10.0,A1,,,,,,,,-3.290660461537941,5
sparkling,word,8.001280204832773e-06,1,general,verb,2,3.66,UNKNOWN,,,,,,,,-5.0968350925528725,1
orange,word,0.00012802048327732437,16,colors,"noun noun, adjective,adjective",2,3.66,A1,,,,,,,,-3.89272019843732,4
juice,word,0.00012001920307249159,15,"food and drink,party",noun,1,10.0,A1,,,,,,,,-3.920748899421697,4
monday,word,0.000352056329012642,44,general,propn noun,2,3.66,A1,,,,,,,,-3.4533877204858463,5
wednesday,word,0.00013602176348215714,17,general,propn noun,2,3.66,A1,,,,,,,,-3.8663912796701485,4
english,word,0.001128180508881421,141,general,adj,2,3.66,UNKNOWN,,,,,,,,-2.9476213691808875,6
level,word,0.00011201792286765882,14,general,"propn noun,adjective",2,3.66,A2,,,,,,,,-3.9507120969524365,4
test,word,6.401024163866218e-05,8,education,"noun noun, verb",1,10.0,A1,,,,,,,,-4.193749854863421,3
vocabulary,word,8.001280204832773e-05,10,general,noun,5,0.0,UNKNOWN,,,,,,,,-4.096839977550485,3
whole,word,0.000176028164506321,22,general,adj adjective,1,10.0,A2,,,,,,,,-3.754417592790506,4
excursion,word,4.0006401024163864e-05,5,travel,noun,3,0.0,UNKNOWN,,,,,,,,-4.39786943043424,3
london,word,0.0005360857737237958,67,general,propn,2,3.66,UNKNOWN,,,,,,,,-3.2707656366184445,5
oxford,word,4.0006401024163864e-05,5,general,propn,2,3.66,UNKNOWN,,,,,,,,-4.39786943043424,3
skills,word,8.001280204832773e-05,10,general,noun,1,10.0,UNKNOWN,,,,,,,,-4.096839977550485,3
speaking,word,0.00012802048327732437,16,general,verb,2,3.66,UNKNOWN,,,,,,,,-3.89272019843732,4
reading,word,0.00036805888942230755,46,"education,free time, entertainment,hobbies and pastimes",noun,2,3.66,A1,,,,,,,,-3.434082570653909,5
preparation,word,8.001280204832773e-05,10,general,noun,4,0.0,B2,,,,,,,,-4.096839977550485,3
lunch,word,0.0004720755320851336,59,"food and drink,general",noun,1,10.0,A1,,,,,,,,-3.325988416692434,5
project,word,5.600896143382941e-05,7,"education,work and jobs",noun,2,3.66,A1,,,,,,,,-4.251741704916048,3
art,word,8.001280204832773e-05,10,"education,free time, entertainment,general,hobbies and pastimes",noun,1,10.0,A1,,,,,,,,-4.096839977550485,3
basketball,word,8.001280204832773e-05,10,"free time, entertainment,hobbies and pastimes,sports",noun,3,0.0,A2,,,,,,,,-4.096839977550485,3
free,word,0.00031204992798847817,39,general,adj adjective,1,10.0,A1,,,,,,,,-3.505775774130235,5
time,word,0.0019203072491598655,240,general,noun,1,10.0,A1,,,,,,,,-2.716629256003899,7
dinner,word,0.0006321011361817891,79,"food and drink,general",noun,2,3.66,A1,,,,,,,,-3.199213360334467,5
swimming,word,0.00019203072491598655,24,"free time, entertainment,leisure activities,sports",verb noun,2,3.66,A1,,,,,,,,-3.716629052460991,4
football,word,0.00016002560409665546,20,"free time, entertainment,hobbies and pastimes,sports",noun,2,3.66,A1,,,,,,,,-3.7958102532768714,4
tournament,word,8.001280204832773e-06,1,general,noun,3,0.0,B2,,,,,,,,-5.0968350925528725,1
cinema,word,0.0001440230436869899,18,"city,free time, entertainment,hobbies and pastimes",noun,3,0.0,A1,,,,,,,,-3.841567713683053,4
thursday,word,0.00016802688430148823,21,general,propn noun,2,3.66,A1,,,,,,,,-3.7746209671302884,4
sunday,word,0.0003840614498319731,48,general,propn noun,2,3.66,A1,,,,,,,,-3.4155991698763914,5
friday,word,0.0008641382621219395,108,general,propn noun,2,3.66,A1,,,,,,,,-3.06341671458692,6
saturday,word,0.0002720435269643143,34,general,propn noun,3,0.0,A1,,,,,,,,-3.5653614436476215,5
grammar,word,5.600896143382941e-05,7,general,noun,2,3.66,UNKNOWN,,,,,,,,-4.251741704916048,3
late,word,0.00040006401024163864,50,general,"adj adjective, adverb,adjective",1,10.0,A1,,,,,,,,-3.3978704074391355,5
breakfast,word,0.00044007041126580253,55,"food and drink,general",noun,2,3.66,A1,,,,,,,,-3.356477732149658,5
listening,word,0.00019203072491598655,24,general,noun,3,0.0,UNKNOWN,,,,,,,,-3.716629052460991,4
progress,word,1.6002560409665546e-05,2,general,noun,2,3.66,A2,,,,,,,,-4.795807810769671,2
writing,word,0.000248039686349816,31,education,noun,2,3.66,A1,,,,,,,,-3.6054786514064285,4
games,word,0.0001440230436869899,18,general,noun,1,10.0,UNKNOWN,,,,,,,,-3.841567713683053,4
drama,word,1.6002560409665546e-05,2,"free time, entertainment,general,hobbies and pastimes",noun,2,3.66,A2,,,,,,,,-4.795807810769671,2
theatre,word,0.00018402944471115378,23,general,noun,3,0.0,A1,,,,,,,,-3.735112448322016,4
trip,word,0.00010401664266282605,13,"general,hobbies and pastimes,travel",noun,1,10.0,A1,,,,,,,,-3.98289675050072,4
local,word,4.0006401024163864e-05,5,general,adj adjective,2,3.66,A1,,,,,,,,-4.39786943043424,3
castle,word,0.00022403584573531764,28,"general,house and home, environment",noun,2,3.66,A2,,,,,,,,-3.6496822951387693,4
museum,word,9.601536245799327e-05,12,"arts,places,things in the town, shops and shopping",noun,3,0.0,A1,,,,,,,,-4.017658821966298,4
circus,word,8.001280204832773e-06,1,general,noun,2,3.66,UNKNOWN,,,,,,,,-5.0968350925528725,1
mountain,word,9.601536245799327e-05,12,"house and home, environment,nationalities and countries,nature",noun,2,3.66,A1,,,,,,,,-4.017658821966298,4
biking,word,8.001280204832773e-06,1,general,noun,2,3.66,UNKNOWN,,,,,,,,-5.0968350925528725,1
bowling,word,8.001280204832773e-06,1,general,noun,2,3.66,UNKNOWN,,,,,,,,-5.0968350925528725,1
talent,word,1.6002560409665546e-05,2,general,noun,2,3.66,B1,,,,,,,,-4.795807810769671,2
disco,word,8.001280204832773e-06,1,general,propn,2,3.66,UNKNOWN,,,,,,,,-5.0968350925528725,1
packing,word,1.6002560409665546e-05,2,general,noun,2,3.66,UNKNOWN,,,,,,,,-4.795807810769671,2
departures,word,8.001280204832773e-06,1,general,noun,3,0.0,UNKNOWN,,,,,,,,-5.0968350925528725,1
flight,word,3.200512081933109e-05,4,"general,travel,ways of travelling",noun,1,10.0,A1,,,,,,,,-4.494779172052438,2
destination,word,8.001280204832773e-06,1,"travel,travel and services vocab",noun,4,0.0,B1,,,,,,,,-5.0968350925528725,1
gate,word,3.200512081933109e-05,4,"general,house and home, environment,objects and rooms",noun,1,10.0,A2,,,,,,,,-4.494779172052438,2
remarks,word,8.001280204832773e-06,1,general,verb,2,3.66,UNKNOWN,,,,,,,,-5.0968350925528725,1
xz,word,3.200512081933109e-05,4,general,propn,1,10.0,UNKNOWN,,,,,,,,-4.494779172052438,2
chennai,word,1.6002560409665546e-05,2,general,propn,2,3.66,UNKNOWN,,,,,,,,-4.795807810769671,2
departed,word,2.400384061449832e-05,3,general,verb,3,0.0,UNKNOWN,,,,,,,,-4.619717456344684,2
sq,word,1.6002560409665546e-05,2,general,x,1,10.0,UNKNOWN,,,,,,,,-4.795807810769671,2
amsterdam,word,8.001280204832773e-06,1,general,propn,3,0.0,UNKNOWN,,,,,,,,-5.0968350925528725,1
mexico,word,2.400384061449832e-05,3,general,propn,3,0.0,UNKNOWN,,,,,,,,-4.619717456344684,2
city,word,0.0004160665706513042,52,"city,house and home, environment",noun,2,3.66,A1,,,,,,,,-3.3808370723155945,5
rt,word,8.001280204832773e-06,1,general,propn,1,10.0,UNKNOWN,,,,,,,,-5.0968350925528725,1
buenos,word,8.001280204832773e-06,1,general,noun,2,3.66,UNKNOWN,,,,,,,,-5.0968350925528725,1
aires,word,8.001280204832773e-06,1,general,noun,2,3.66,UNKNOWN,,,,,,,,-5.0968350925528725,1
cancelled,word,8.001280204832773e-06,1,general,verb,2,3.66,UNKNOWN,,,,,,,,-5.0968350925528725,1
